Albergo,Indirizzo,Cap,Citta,Prov,Contatto,Stelle,Catena,Telefono,Web,Email,CamereSuite,PUNTEGGIO SU BOOKING,N Giudizi,FlagTerme,DoublePriceMin,FBLink
Etrusco Palace,Via Fleming 39,52100,Arezzo,AR,NULL,4,,0575 984 066,http://www.etruscohotel.it/,etrusco@etruscohotel.it,80,,,NULL,70,
ETRUSCO PALACE,"Via Fleming, 39",52100,Arezzo,AR,NULL,4,ITALY HOTEL CLUB,0575984066,http://www.etruscohotel.it,commerciale@etruscohotel.it,80,,,NULL,0,
GRANDUCA,"Piazza Micheli, 16",57123,Livorno,LI,NULL,3,,,http://www.granduca.it,info@granduca.it,80,,,NULL,0,
GRIFONE,"Via Gaetano Pilati, 20",80136,Firenze,FI,NULL,3,,,http://www.hotelgrifonefirenze.it/,info@hotelgrifonefirenze.com,80,,,NULL,0,
HOTEL MARINETTA,"Via Dei Cavalleggeri Nord, 3",57020,Marina Di Bibbona,LI,NULL,4,,0586600598,http://www.hotelmarinetta.it,info@hotelmarinetta.it,80,,,NULL,0,
IMPERIAL GARDEN,"Viale Puccini, 20",51016,Montecatini Terme,PT,NULL,4,,0572910862,http://www.imperialgarden.it,hotel@imperialgarden.it,80,,,1,0,
MIRAMARE,"Viale Matteotti, 1",62012,Civitanova Marche,MC,NULL,4,,,NULL,,80,,,NULL,0,
Montaperti,Località Casanova Pansarine - (Casetta),53041,Siena,SI,NULL,4,,,http://www.montapertihotel.com/,"assistenza@blastness.com,info@montapertihotel.com",80,,,NULL,63.75,
Rivoli,Via della Scala 33,50123,Firenze,FI,NULL,4,,055 27861,http://www.hotelrivoli.it/it/,info@hotelrivoli.it,80,,,NULL,83.3,
STARHOTEL VESPUCCI,"Via San Quirico, 292 a",50013,Capalle,FI,NULL,4,,,http://www.starhotels.com/en/our-hotels/vespucci-florence/?utm_source=google&utm_medium=local&utm_ca,*,80,,,NULL,0,
Starhotels Vespucci,Via San Quirico 292/A,50010,Campi Bisenzio,FI,NULL,4,,,http://www.starhotels.com/en/our-hotels/vespucci-florence/?utm_source=google&utm_medium=local&utm_ca,*,80,,,NULL,67.5,
TERME PELLEGRINI,"Piazza Del Popolo, 34",51016,Montecatini Terme,PT,NULL,3,,,http://www.hotelpellegrini.it,info@hotelpellegrini.it,80,,,1,0,
Villa Ottone,Località Ottone 4,57037,Portoferraio,LI,NULL,5,,0565 933 042,http://www.villaottone.com/,hotel@villaottone.com,80,,,NULL,250,
ALCIDE,"V.le Marconi, 67 A",53036,Poggibonsi,SI,NULL,3,,0577937501,http://www.hotelalcide.com/it/,alcide@hotelalcide.it,81,,,NULL,0,
ERCOLINI & SAVI,"Via S. Martino, 18",58100,Montecatini Terme,GR,NULL,4,,,http://www.ercoliniesavi.it/,info@ercoliniesavi.it,81,,,1,0,
Hotel Ercolini e Savi,Via San Martino 18,51016,Montecatini Terme,PT,NULL,4,,,http://www.ercoliniesavi.it/,info@ercoliniesavi.it,81,,,NULL,55,
SOLE,"Via Delle Rose, 40",53042,Chianciano Terme,SI,NULL,3,,,http://www.hotelsolechiancianoterme.it,hsole@libero.it,81,,,1,0,
VILLA GABRIELE D'ANNUNZIO,"Via G. D'Annunzio, 141 a a",50135,Firenze,FI,NULL,4,,,http://dannunziohotel.it/,info@hoteldannunzio.com,81,,,NULL,0,
Best Western Hotel Villa Gabriele D'Annunzio,Via Gabriele D'Annunzio 141 A/B,50135,Firenze,FI,NULL,4,,055 602960,http://www.dannunziohotel.it/,info@dannunziohotel.it,82,,,NULL,59,
GOLF HOTEL,"Via Della Pineta, 32",54027,Pontremoli,MS,,3,,,http://www.golfhotel.it/,golfhotel@golfhotel.it,82,,,0,0,
Cerretani Firenze,Via de' Cerretani 10,50123,Firenze,FI,NULL,4,,055 238 1301,http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1539&merchantid=seo-maps-IT,H1539@ACCOR.COM,83,,,NULL,120,
COUNTRY CLUB,"Via Pesciatina - Fontanenuove Gragnano, 874",55010,Capannori,LU,NULL,3,,,http://www.sphotels.com,countryhotel@sphotels.com,83,,,NULL,0,
EXCELSIOR,"Viale Giosue' Carducci, 88",55049,Viareggio,LU,NULL,4,,058450726,http://www.sanfranciscoviareggio.it/,*,83,,,NULL,0,
Hotel Residence Grifone,Via Gaetano Pilati 20-22,50136,Firenze,FI,NULL,3,,055 623300,http://www.hotelgrifonefirenze.it/,info@hotelgrifonefirenze.it,83,,,NULL,59,
GALLIA PALACE HOTEL,Via Delle Sughere,58040,Punta Ala,GR,NULL,4,RELAIS & CHATEAUX,0564922022,http://www.galliapalace.it,info@galliapalace.it,84,,,NULL,0,
Grand Hotel San Marco,Via Lischi 1,56034,Casciana Terme,PI,NULL,5,,0587 646219,NULL,,84,,,NULL,99,
Grand Hotel Vittoria,Viale della Libertà 2/A,51016,Montecatini Terme,PT,NULL,4,,,http://www.ghvittoria.com/,lodash@4.17.4,84,,,NULL,130,
SAN MARCO,"Via Lischi, 1",56034,Casciana Terne,PI,NULL,4,,,http://www.booked.net/hotels/italy/venice/district-san-marco,info@sanmarcohotels.it,84,,,1,0,
SOFITEL FIRENZE,"Via De' Cerretani, 10",50100,Firenze,FI,NULL,4,,0552381301,NULL,sofitfi@tin.it,84,,,NULL,0,
Una Hotel Vittoria,Via Pisana 59 (GPS: Piazza Pier Vettori),50143,Firenze,FI,NULL,4,,,http://www.unahotelvittoria.com/,assistenza@blastness.com,84,,,NULL,102,
UNA VITTORIA HOTEL,"Via Pisana, 59",50143,Firenze,FI,NULL,4,,,http://www.unahotelvittoria.com/,assistenza@blastness.com,84,,,NULL,0,
VITTORIA,Viale Della Liberta' N. 2 a,51016,Montecatini Terme,PT,NULL,4,,,http://www.hotelvittoria.it,vittoria@hotelvittoria.it,84,,,1,0,
HOTEL TERME DE' MEDICI,"Via Terme, 1",53040,San Casciano Dei Bagni,SI,NULL,4,,,http://www.fonteverdeterme.com,info@fonteverdeterme.com,85,,,1,0,
LAGO VERDE,"Via Castellani, 4",51030,Serravalle Pistoiese,PT,NULL,3,RPHOTELS & RESTAURANTS,0573518262,http://www.rphotels.com/,*,85,,,NULL,0,
Palace,Via Pier della Francesca 71,59100,Prato,PO,NULL,4,,0574 5671,http://www.palaceprato.it/,*,85,,,NULL,70,
PALACE,"Via Pier Della Francesca, 71",59100,Prato,PO,NULL,4,,,NULL,palaceprato@libero.it,85,,,NULL,0,
VILLA OTTONE,"LocalitÃ  Ottone, 4",57037,Ottone,LI,NULL,4,,0565933042,http://www.villaottone.com,nicola@villaottone.com,85,,,1,0,
BERNINI PALACE,"Piazza S. Firenze, 29",50100,Firenze,FI,NULL,4,,,http://hotelbernini.duetorrihotels.com/,bookinghotelbernini@duetorrihotels.com,86,,,NULL,0,
BIODOLA,"Via Biodola, 21",57037,Elba - Portoferraio,LI,NULL,4,,,http://www.biodola.it,info@biodola.it,86,,,1,0,
GREEN PARK RESORT,Via Dei Tulipani,56100,Tirrenia,PI,NULL,4,SPACE HOTELS,,http://www.greenparkresort.com,info@greenparkresort.com,86,,,NULL,0,
CORTE DEI BUTTERI,"Strada Statale Aurelia, 231",58010,Fonteblanda,GR,NULL,4,,,NULL,corte_dei_butteri@yahoo.it,87,,,1,0,
Delle Nazioni,Via L. Alamanni 15,50123,Firenze,FI,NULL,3,,055 283575,http://www.hoteldellenazioniflorence.com/,*,87,,,NULL,69,
DELLE NAZIONI,"Via L. Alamanni, 15",50100,Firenze,FI,NULL,2,,,NULL,,87,,,NULL,0,
Petriolo Spa & Resort,Località Petriolo Strada Statale 223,58040,Civitella Paganico,GR,NULL,5,,,http://www.atahotels.it/petriolo,commerciale@petriolosparesort.com,87,,,NULL,190,
Pitti Palace al Ponte Vecchio,Borgo San Jacopo 3/R,50125,Firenze,FI,NULL,3,,055 2398711,https://www.florencehotelpittipalacealpontevecchio.com/it,"icon@2x.png,icon-72@2x.png,reservations@florencehotelpittipalacealpontevecchio.com",87,,,NULL,66.33,
ALEXANDER,"Viale Guidoni, 101",50100,Firenze,FI,NULL,4,,,http://www.vivahotels.com,vivameeting@vivahotels.com,88,,,NULL,0,
ASTORIA,"Via Del Giglio, 9",50100,Firenze,FI,NULL,4,,0552398095,http://www.b4astoriafirenze.com/,fo.manager@astoria.boscolo.com,88,,,NULL,0,
B&B Hotel Firenze Aeroporto,Viale Alessandro Guidoni 101,50127,Firenze,FI,NULL,4,,(415) 775-1755,http://www.hotel-bb.com/it/hotel/firenze-novoli.htm?utm_source=googlemaps&utm_medium=fichehotel&utm_,fi.novoli@hotelbb.com,88,,,NULL,55,
Boscolo Astoria,Via del Giglio 9,50123,Firenze,FI,NULL,4,,055 239 8095,https://www.b4astoriafirenze.com/,fo.manager@astoria.boscolo.com,88,,,NULL,104,
Columbus,Lungarno Cristoforo Colombo 22/A,50136,Firenze,FI,NULL,4,,,http://www.hotelcolumbus.it/,info@hotelcolumbus.it,88,,,NULL,60,
COLUMBUS,"Lungarno Cristoforo Colombo, 22A",50136,Firenze,FI,NULL,3,,,http://www.hotelcolumbus.it,info@hotelcolumbus.it,88,,,NULL,0,
FORTUNA,"Via Della Valle, 76",53042,Chianciano Terme,SI,NULL,4,,,https://www.fortunaresort.it/,info@fortunaresort.it,88,,,1,0,
GRAND HOTEL VALLOMBROSA,"Via Giosue' Carducci, 2",50060,Saltino Vallombrosa,FI,NULL,3,,055862012,http://www.vallombrosalberghi.it,info@vallombrosalberghi.it,88,,,NULL,0,
Grande Albergo Fortuna,Via della Valle 76,53042,Chianciano Terme,SI,NULL,4,,,NULL,,88,,,NULL,115,
PARCO DELLE ROSE,Via Privata Delle Rose,51013,Chiesina Uzzanese,PT,NULL,3,,,http://www.motelparcodellerose.com,info@motelparcodellerose.com,88,,,NULL,0,
SAVOIA UNUCI,"Via Della Liberta', 510",53042,Chianciano Terme,SI,NULL,3,,,http://www.hotelsavoia-unuci.it,info@hotelsavoia-unuci.it,88,,,1,0,
Albani Firenze,Via Fiume 12,50123,Firenze,FI,NULL,4,,055 26030,https://www.hotelalbanifirenze.com/,reservation.flo@albanihotels.com,89,,,NULL,112,
CAVOUR,"Via Del Proconsolo, 3",50100,Firenze,FI,NULL,3,,,NULL,,89,,,NULL,0,
GRAND HOTEL BONANNO,"Via C. Francesco Gabba, 17",56122,Pisa,PI,NULL,4,,050524030,http://www.anghelhotels.it/grandhotelbonanno,info@grandhotelbonanno.it,89,,,NULL,0,
TOSCANA AMBASSADOR,"Via Salceto, 11",53036,Poggibonsi,SI,NULL,4,,0577982922,http://www.toscana-ambassador.it,info@toscana-ambassador.it,89,,,NULL,0,
Adler Thermae Spa & Wellness Resort,Strada di Bagno Vignoni 1,53027,San Quirico d'Orcia,SI,NULL,5,,,http://www.adler-thermae.com/,info@adler-thermae.com,90,,,NULL,392,
BIONDI,"Viale Iv Novembre, 83",51016,Montecatini Terme,PT,NULL,4,,,http://www.montecatinihotelbiondi.it,info@montecatinihotelbiondi.it,90,,,1,0,
CORTE DEI BUTTERI,"Via Aurelia Km, 156",58010,Orbetello - Fonteblanda,GR,NULL,4,,,NULL,,90,,,NULL,0,
Grand Hotel Bonanno,Via Carlo Francesco Gabba 17,56122,Pisa,PI,NULL,4,,,http://www.grandhotelbonanno.it.wothotels.co/,username@example.com,90,,,NULL,69,
Machiavelli Palace,Via Nazionale 10,50123,Firenze,FI,NULL,3,,055 213 031,http://www.hotelmachiavelli.it/,info@hotelmachiavelli.it,90,,,NULL,53.1,
MACHIAVELLI PALACE,"Via Nazionale, 10",50123,Firenze,FI,NULL,3,,,http://www.hotelmachiavelli.it,info@hotelmachiavelli.it,90,,,NULL,0,
San Ranieri,Via Mazzei angolo Via San Biagio,56124,Pisa,PI,NULL,4,,,http://www.sanranierihotel.com/,info@sanranierihotel.com,90,,,NULL,79,
Toscana Ambassador,Via Salceto 11,53036,Poggibonsi,SI,NULL,4,,0577 982922,http://www.toscana-ambassador.com/,gruppi@toscana-ambassador.it,90,,,NULL,70,
Tuscany Inn,Via Cividale 86/E,51016,Montecatini Terme,PT,NULL,4,,,http://tuscany-inn.business.site/,*,90,,,NULL,90,
B&B Hotel Firenze Centro,Viale Giovanni Amendola 34,50121,Firenze,FI,NULL,3,,(415) 775-1755,http://www.hotel-bb.com/it/hotel/firenze-city-center.htm?utm_source=googlemaps&utm_medium=fichehotel,fi.center@hotelbb.com,91,,,NULL,69,
Art Hotel Mirò,Via degli Olmi 7,50041,Calenzano,FI,NULL,4,,,http://www.mirohotel.it/,*,92,,,NULL,55,
BEST WESTERN HOTEL CAPITOL,"Viale Amendola, 34",50100,Firenze,FI,NULL,3,,,http://www.hotel-bb.com/it/hotel/firenze-city-center.htm?utm_source=googlemaps&utm_medium=fichehotel,fi.center@hotelbb.com,92,,,NULL,0,
CROCE DI SAVOIA,"Via S. G. Giovanni Gualberto, 26",50060,Saltino Vallombrosa,FI,NULL,3,,055862035,http://www.vallombrosalberghi.it,info@vallombrosalberghi.it,92,,,NULL,0,
GRAND HOTEL BOSTON,"Piazza Italia, 5",53042,Chianciano Terme,SI,NULL,4,,,http://www.grandhotelboston.it,direzione@grandhotelboston.it,92,,,1,0,
Holiday Inn Florence,Viale Europa 205,50126,Firenze,FI,NULL,4,,055 6571,http://www.hiflorence.it/,booking@italiana-hotels.com,92,,,NULL,0,
HOLIDAY INN FLORENCE,"Viale Europa, 205",50126,Firenze,FI,NULL,4,Intercontinental Hotels Group,0556571,http://www.ihg.com/holidayinn/hotels/it/it/reservation,flnit@ichotelsgroup.com,92,,,NULL,0,
PARK HOTEL,"Via Umbro Casentinese, 88",52043,Castiglion Fiorentino,AR,NULL,3,,,http://www.parkhotelarezzo.com,parkhotel@parkhotelarezzo.com,92,,,NULL,0,
Grand Hotel Duomo,Via Santa Maria 94,56126,Pisa,PI,NULL,4,,050 561 894,http://www.grandhotelduomo.it/,info@grandhotelduomo.it,93,,,NULL,85,
GRAND HOTEL DUOMO,"Via S. Maria, 94",56030,Pisa,PI,NULL,4,SPACE HOTELS,,http://www.grandhotelduomo.it,reception@grandhotelduomo.it,93,,,NULL,0,
BELVEDERE,"Viale Fedeli, 10",51016,Montecatini Terme,PT,NULL,3,,,http://www.bk1.it,belve@bk1.it,94,,,1,0,
Planet,Strada Statale,52040,Arezzo,AR,NULL,4,,,http://www.hotelhp.it/,*,94,,,NULL,59,
La Buca del Gatto,Via dell'Astronomia 1 - Località La Mazzanta,57023,Cecina,LI,NULL,3,,0586 620 265,http://www.labucadelgatto.com/,info@labucadelgatto.com.com,95,,,NULL,78,
LOCANDA BELLAVISTA,"Via Bellavista, 2",52036,Pieve Santo Stefano,AR,NULL,2,,,http://www.overplace.com/ristorante-hotel-la-terrazza-sul-lago,*,95,,,NULL,0,
PLANET,Ss 161 - Rigulino,52100,Arezzo,AR,NULL,4,,,http://www.hotelhp.it,hotelplanet@hotelhp.it,95,,,NULL,0,
RIVA DEGLI ETRUSCHI,"Via Principessa, 120",57027,San Vincenzo,LI,NULL,3,,,https://www.rivadeglietruschi.it/,info@rivadeglietruschi.it,95,,,NULL,0,
Accademia Palace,Viale Giovanni Gronchi,56121,Pisa,PI,NULL,4,,,http://www.hotel-bb.com/it/hotel/pisa.htm?utm_source=googlemaps&utm_medium=fichehotel&utm_content=it,pisa@hotelbb.com,96,,,NULL,72,
ACCADEMIA PALACE HOTEL,"Viale Giovanni Gronchi, snc",56121,Ospedaletto,PI,NULL,4,,,http://www.accademiapalacehotel.it,l.bernardo@accademiapalacehotel.it,96,,,NULL,0,
Brunelleschi,Piazza Santa Elisabetta 3,50122,Firenze,FI,NULL,4,,055 27370,https://www.hotelbrunelleschi.it/,hotelbrunelleschi-logo@2x.png,96,,,NULL,133,
BRUNELLESCHI,"Piazza Santa Elisabetta, 3",50100,Firenze,FI,NULL,4,,,https://www.hotelbrunelleschi.it/,info@hotelbrunelleschi.it,96,,,NULL,0,
CONCORDE,"Viale L. Gori, 10",50100,Firenze,FI,NULL,3,,,NULL,,96,,,NULL,0,
Grand Hotel Plaza e Locanda Maggiore,Piazza del Popolo 7,51016,Montecatini Terme,PT,NULL,4,,0572 75831,http://www.hotelplaza.it/,*,96,,,NULL,59,
LUCE SORGENTE,Loc. Aiole,58031,Arcidosso,GR,NULL,4,Charme and Relax,,http://www.parkhotelspaeresort.com/,*,96,,,NULL,0,
Park Hotel Colle degli Angeli Spa & Resort,Località Aiuole,58031,Arcidosso,GR,NULL,4,,,http://www.parkhotelspaeresort.com/,*,96,,,NULL,59,
Tombolo Talasso Resort,Via del Corallo 3,57022,Castagneto Carducci,LI,NULL,5,,,http://toscanaspa.it/,info@tombolotalasso.it,96,,,NULL,200,
Villa Ricci,Viale G. di Vittorio 51,53042,Chianciano Terme,SI,NULL,3,,,http://www.hotelvillaricci.it/,info@hotelvillaricci.it,96,,,NULL,55,
MINERVA,"Piazza Santa Maria Novella, 16",50100,Firenze,FI,NULL,4,,,http://www.grandhotelminerva.com/en/default.html,info@grandhotelminerva.com,97,,,NULL,0,
Plaza & Lucchesi,Lungarno della Zecca Vecchia 38,50122,Firenze,FI,NULL,4,,(415) 776-7585,http://www.hotelplazalucchesi.it/en/index.php,lucchesi@toflorence.it,97,,,NULL,129,
PLAZA & LUCCHESI,"Lungarno Della Zecca Vecchia, 38",50100,Firenze,FI,NULL,4,,,http://www.hotelplazalucchesi.it/,lucchesi@toflorence.it,97,,,NULL,0,
Croce di Malta,Via della Scala 7,50123,Firenze,FI,NULL,4,,055 261870,http://www.crocedimaltaflorence.com/,info@crocedimaltaflorence.com,98,,,NULL,120,
CROCE DI MALTA,"Via Della Scala, 7",50123,Firenze,FI,NULL,4,,,http://www.crocedimaltaflorence.com/,info@crocedimalta.it,98,,,NULL,0,
DEMIDOFF,"Via S. Jacopo, 51 A",50036,Vaglia,FI,NULL,4,,,https://demidoffcountryresort.it/,demidoff@withinn.it,98,,,NULL,0,
PLAZA E LOCANDA MAGGIORE,"Piazza Del Popolo, 7",51016,Montecatini Terme,PT,NULL,4,,,http://www.hotelplaza.it,info@hotelplaza.it,98,,,1,0,
